CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DEPRESSION,DIABETES,OBESITY,TEETHLOST,STROKE
8093,21.2,9.2,24.5,6.5,25.9,2.3,4.9,4.6,18.3,6.6,24.8,9.8,2.5
29105,27.3,10.5,30.6,6.7,30.6,2.9,9.2,6.9,24.9,10.1,37.6,21.6,3.6
50001,21.7,9.6,25.7,6.6,24.7,2.2,5.4,4.7,21.0,6.7,25.2,13.1,2.5
53077,23.5,10.1,30.7,5.9,28.5,3.4,6.4,6.4,22.9,13.0,37.1,19.1,3.5
20141,22.7,9.3,30.4,6.5,28.8,2.6,6.4,5.6,20.1,9.5,36.3,14.4,2.9
28005,27.3,10.7,42.2,6.2,32.9,3.5,8.6,7.1,22.0,13.8,41.6,23.7,4.6
1119,33.7,11.6,48.3,5.9,31.3,4.2,9.1,7.5,22.0,17.8,43.5,25.1,5.6
5015,26.0,9.3,34.8,6.4,31.3,3.0,7.9,6.7,23.7,10.7,33.9,20.0,3.3
35001,21.3,9.0,25.5,5.6,25.5,3.1,4.6,4.7,17.4,10.3,28.6,14.0,2.7
31095,22.7,8.5,31.0,6.6,27.2,2.6,6.1,5.9,17.0,9.3,38.6,16.5,3.0
46075,21.9,8.6,26.5,6.6,25.2,2.4,5.0,5.1,16.2,7.8,32.1,12.9,2.7
48387,25.1,9.8,36.8,6.4,31.7,3.3,8.7,6.8,23.3,12.6,39.6,20.3,4.0
37151,25.5,9.7,32.2,6.6,31.0,3.0,8.3,6.6,24.7,11.0,37.2,19.3,3.6
29075,26.3,10.1,29.7,6.8,29.8,2.7,8.5,6.5,24.9,9.5,35.4,20.2,3.3
50023,22.6,10.7,24.7,6.5,24.5,2.4,6.0,5.0,21.5,7.1,27.2,13.0,2.7
22023,25.5,9.4,34.4,6.7,32.5,3.0,8.2,6.7,26.5,10.4,34.8,18.7,3.4
8073,22.6,9.1,28.0,6.3,27.3,2.7,6.2,5.5,17.1,8.8,28.7,15.9,3.1
6037,17.1,7.4,26.4,5.1,27.1,3.1,4.3,4.9,14.3,11.1,27.8,11.0,2.8
48345,21.9,8.5,32.2,6.3,31.4,2.9,6.7,5.9,21.2,11.0,35.8,16.1,3.2
26051,30.0,11.3,32.8,6.8,31.3,3.1,9.5,6.9,25.6,10.7,39.2,17.0,3.5
25019,20.8,9.2,25.9,6.4,26.0,2.4,4.5,4.8,18.8,7.7,26.6,9.5,2.4
13321,27.4,10.2,37.8,6.5,30.4,3.4,8.8,6.9,22.5,12.7,37.0,21.1,4.1
29011,27.0,10.6,31.7,6.8,30.3,3.0,9.4,7.1,25.3,10.5,38.3,21.9,3.6
51015,25.2,9.5,31.8,6.7,30.5,2.5,7.1,5.5,22.1,9.5,32.5,13.3,2.9
8029,24.0,10.2,27.7,6.3,26.7,2.9,6.6,5.8,19.3,9.0,29.7,16.3,3.2
40007,23.4,9.6,34.2,6.2,30.1,3.0,7.3,6.6,21.6,11.2,38.6,19.0,3.3
1055,32.0,9.9,38.2,6.7,32.3,3.0,8.7,6.7,27.5,11.9,34.5,18.7,3.8
53013,24.3,10.5,26.7,6.7,27.6,2.8,6.1,5.7,23.5,9.5,30.6,13.4,3.1
13055,27.6,10.3,37.2,6.6,32.3,3.5,10.4,7.8,24.0,13.0,37.7,24.5,4.2
17093,20.5,8.1,27.0,6.2,27.9,2.3,4.7,4.5,18.2,8.8,33.2,9.7,2.4
28055,29.9,11.7,49.6,5.9,34.2,4.4,10.9,8.8,21.0,17.9,48.4,34.6,6.2
40061,26.5,11.0,38.5,6.7,31.7,3.3,9.6,7.8,24.6,11.9,39.6,25.2,4.1
2060,22.5,10.1,30.8,6.6,27.5,2.9,6.4,6.1,18.6,9.6,34.1,16.6,3.5
13009,26.7,10.1,40.1,6.2,29.5,3.6,8.2,7.0,19.0,13.6,39.5,21.4,4.3
22053,26.5,10.0,36.0,6.5,31.5,3.2,8.5,6.9,24.7,11.2,38.8,21.1,3.8
29041,26.2,10.0,29.7,6.7,30.3,2.7,8.4,6.5,24.6,9.5,36.6,18.7,3.3
1025,33.0,11.0,45.3,6.2,31.6,3.6,9.4,7.4,25.6,14.8,44.4,23.7,4.7
40125,26.2,11.1,38.4,6.7,32.1,3.1,9.0,7.2,25.9,11.3,38.4,21.6,3.7
54063,33.9,11.2,37.7,6.8,32.5,3.0,10.0,7.8,30.0,11.8,41.1,24.1,3.5
31031,22.0,8.4,28.6,6.5,28.0,2.5,5.7,5.6,15.8,8.8,31.5,15.7,2.9
13119,26.0,9.7,34.9,6.6,31.3,3.2,9.0,7.0,22.4,11.7,34.1,21.9,3.7
20097,23.8,9.6,30.5,6.5,28.9,2.6,6.3,5.5,19.9,9.7,37.9,14.7,2.9
