CountyFIPS,MHLTH,PHLTH,GHLTH
21173,18.5,16.8,25.1
21069,19.3,17.4,25.5
45023,17.0,15.4,23.9
41011,17.8,14.5,21.1
18121,17.7,15.1,21.6
54073,20.0,16.3,23.4
55007,13.9,11.2,14.6
45059,17.0,15.7,23.6
17175,16.2,13.2,18.5
24005,13.8,10.5,15.6
41007,15.9,12.7,18.3
28013,18.7,15.9,27.3
48049,15.1,13.4,22.3
45057,14.5,13.0,19.3
44005,14.2,10.7,14.6
16001,13.2,11.4,13.6
22031,19.4,15.6,25.2
47129,20.7,18.8,27.9
26101,17.1,13.6,18.6
48437,16.0,16.5,30.6
30073,16.2,13.6,17.3
27157,13.0,10.4,14.3
41041,16.2,13.4,19.7
39139,18.0,14.7,20.9
26121,17.6,14.7,20.3
18027,17.8,15.6,23.6
13141,19.5,18.5,31.5
54083,20.9,17.7,25.5
31173,17.1,15.6,23.6
37041,15.8,13.4,21.6
19107,13.9,10.9,15.3
12009,15.5,13.3,18.9
29181,20.6,18.8,27.4
20173,15.0,11.9,19.5
48493,13.1,11.9,21.1
21039,18.9,17.0,25.1
48261,19.1,21.7,44.8
8081,14.6,12.4,17.6
6077,13.5,13.3,22.7
21227,16.6,14.3,20.6
28003,18.5,14.8,23.7
27093,13.2,10.7,15.0
42003,14.0,11.5,16.5
27073,13.3,10.7,14.7
37093,15.8,14.3,23.6
13269,21.1,19.0,29.2
55115,15.2,12.1,16.4
29221,19.2,17.0,25.1
18091,16.3,14.9,22.0
42113,16.6,13.9,19.9
16055,15.0,12.8,16.6
18001,17.7,15.6,22.9
21193,20.5,19.1,27.8
47141,18.3,15.6,22.7
26007,18.0,14.1,18.6
29117,17.7,14.8,20.9
37187,17.1,15.4,26.0
19171,13.6,11.1,16.6
40053,15.1,12.3,18.1
51041,13.2,10.6,16.5
22061,18.4,15.3,23.3
39145,20.8,17.3,25.3
32033,15.2,13.9,20.4
47175,21.1,18.6,27.5
39115,20.4,17.1,24.5
26079,19.0,15.3,20.4
36047,13.1,12.3,20.2
33017,15.0,11.5,14.1
26057,17.5,14.5,20.2
56007,13.3,12.3,18.7
51775,14.9,11.8,16.9
53075,14.9,13.3,16.8
10003,13.5,11.7,17.0
46033,11.9,10.0,14.4
17111,12.6,10.3,14.7
20121,13.5,9.9,14.2
49049,12.6,10.7,14.3
29103,18.0,15.7,22.3
21049,17.3,15.0,21.6
37127,15.3,13.3,22.2
48325,13.2,12.6,23.8
35017,14.5,13.4,21.6
5091,18.9,16.8,25.1
17041,15.9,13.3,19.7
51159,15.9,14.6,24.1
51043,14.1,11.1,16.2
27029,15.0,12.7,18.5
45087,17.8,16.1,24.2
27123,12.1,10.4,14.9
53041,15.4,13.7,19.2
22017,18.4,14.9,24.3
48109,16.7,18.6,36.9
21143,16.8,14.9,22.2
21237,22.7,21.6,32.2
48373,16.5,14.7,24.8
37161,16.9,14.5,22.0
25021,11.9,8.6,11.4
36057,16.3,14.3,21.5
18057,11.7,9.0,11.9
20185,14.8,12.1,19.1
13033,19.3,17.1,26.3
48339,13.6,11.5,19.2
29031,15.6,13.1,18.3
1019,19.8,16.4,23.7
29211,16.7,15.6,24.8
48343,16.6,14.5,23.7
28049,16.5,13.4,23.9
21207,19.3,17.5,26.4
6005,13.7,12.1,17.4
47163,18.8,15.7,22.6
55109,12.3,9.2,11.5
31037,12.1,12.4,23.0
29115,17.3,14.4,21.2
21027,18.8,17.1,25.3
13003,20.2,19.7,32.1
36101,15.5,12.9,18.2
48407,17.0,15.2,25.2
48217,15.3,13.6,22.8
1107,19.1,17.2,27.5
22051,15.9,12.9,21.2
48403,17.8,15.5,24.2
31131,12.3,10.4,15.0
12075,19.3,17.6,25.6
51079,15.1,12.4,18.2
48029,13.0,13.0,24.3
5117,19.3,16.3,24.1
56001,12.7,11.2,16.0
55063,13.2,10.4,13.2
16085,13.9,11.9,14.5
5061,18.8,17.5,27.0
19161,13.2,10.3,14.2
17031,12.9,11.6,19.2
32017,14.7,12.2,16.8
18173,14.2,11.4,15.5
48231,15.8,13.9,22.8
13069,19.1,17.3,27.1
22011,18.6,14.6,22.0
42049,16.3,13.7,18.9
13229,19.6,16.8,24.3
54019,22.3,19.1,27.9
20203,12.8,10.6,18.4
55027,13.9,11.2,15.4
55079,14.3,12.7,19.3
54053,21.5,17.5,25.6
19137,14.4,11.4,16.4
27167,12.9,10.1,13.6
4025,14.8,12.4,17.6
12017,18.2,15.8,21.6
29169,15.3,13.4,19.9
13171,18.1,14.9,21.7
8023,15.1,16.4,27.9
47065,16.3,13.7,20.5
29021,16.8,14.6,21.7
49043,11.4,9.2,11.3
31059,12.4,10.4,14.7
19191,12.3,9.3,12.2
27031,12.6,10.2,13.4
22095,17.3,14.2,23.7
56045,13.6,11.4,16.0
51117,16.8,14.5,23.4
21071,21.6,20.2,29.8
21179,16.6,13.9,20.1
38067,11.9,10.3,15.1
13207,16.8,13.6,19.2
27095,14.7,12.0,16.5
5027,19.7,17.7,27.1
37149,14.5,11.8,17.4
37105,15.2,13.8,22.7
6079,13.1,11.2,16.0
31011,12.8,10.6,14.6
54017,20.2,16.9,24.6
45015,14.7,12.7,19.0
12041,19.3,17.3,24.9
26123,18.0,14.7,19.9
20091,11.1,8.4,11.9
2110,12.4,9.9,14.7
16007,15.6,13.9,17.7
18113,15.8,14.0,20.9
48077,15.1,12.3,18.6
51021,15.7,12.8,18.6
23011,15.7,13.1,17.2
55093,13.4,10.4,13.0
31171,11.6,9.3,13.0
6015,15.6,14.9,23.0
28121,14.9,11.1,17.9
13305,19.4,16.6,25.2
17149,16.6,13.8,19.4
51099,13.4,10.7,15.7
20027,14.5,11.0,15.9
17183,16.6,14.2,21.2
46117,10.5,8.4,11.7
21165,20.1,18.5,27.4
13181,18.8,15.9,23.3
28047,17.2,13.8,22.3
44003,15.6,12.2,15.7
54037,17.2,13.7,19.6
47055,18.8,16.2,23.4
39075,20.2,16.5,24.9
17095,16.1,13.9,20.1
28027,19.8,18.2,32.3
39021,17.7,13.8,19.2
40131,15.5,12.9,18.7
41065,15.7,13.4,20.7
13283,20.4,18.4,28.0
36029,14.2,11.7,17.0
17085,14.6,11.6,15.9
29205,17.5,14.9,21.2
31093,12.6,10.1,13.8
13209,18.5,16.1,24.1
48181,15.4,13.0,20.6
54081,21.2,18.0,26.4
37095,16.7,15.5,25.8
35028,10.8,7.8,10.0
40083,15.5,13.2,19.7
24045,15.3,12.6,19.9
45067,17.7,16.8,27.2
39131,20.4,17.1,25.5
38097,11.1,9.5,13.7
28091,19.4,16.7,27.6
48057,14.3,14.1,26.7
21047,17.9,16.5,25.2
24031,10.3,8.3,12.9
16079,17.8,16.9,22.4
39085,16.1,12.1,16.8
48287,15.1,13.6,23.0
36123,15.6,12.7,17.9
30093,15.9,13.2,17.1
30029,14.7,12.0,14.3
53051,15.7,13.5,17.9
47089,18.5,15.6,22.8
48253,14.8,14.4,26.1
17169,15.8,13.2,18.7
21093,16.4,14.4,21.3
20165,14.8,11.3,16.9
45003,15.4,13.7,20.4
22085,19.3,15.6,24.3
15003,11.7,10.1,16.6
31181,12.6,10.6,15.3
6053,12.9,13.4,23.6
18019,15.8,13.6,20.2
49009,14.1,11.1,14.9
4001,22.1,21.7,30.8
28037,18.2,14.8,24.9
17055,17.2,14.5,20.5
19097,13.9,10.8,15.1
35057,16.4,15.6,24.8
53031,13.6,11.4,14.2
27021,14.4,12.0,16.9
42083,16.8,14.2,20.0
47153,19.5,16.9,24.7
13013,17.0,14.2,21.1
22003,18.4,14.8,23.4
17105,16.0,13.5,19.5
26065,16.2,13.2,17.6
21009,19.5,17.6,25.8
47045,19.3,16.7,24.8
51678,15.9,13.6,19.4
39165,14.2,10.7,14.7
29213,16.7,14.5,21.0
21213,17.8,15.5,23.1
20195,14.5,10.7,15.6
18009,17.6,15.0,21.7
13261,19.3,17.1,26.9
22075,17.3,13.9,22.2
28155,18.0,14.5,23.3
26037,15.6,11.7,15.3
47183,19.2,16.7,24.4
48027,14.2,12.8,21.7
26133,19.0,15.3,20.6
56015,13.0,11.4,16.4
48317,13.9,13.1,24.3
28101,18.3,15.5,25.7
