density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
30.6,19474,6.6,25.1,19.2,28.8,34.3,6.5-7
51.0,37262,6.5,23.0,18.6,27.6,32.2,6.5-7
42.2,18371,6.5,20.4,17.1,28.4,33.7,6.5-7
246.7,151503,6.3,22.2,14.6,21.0,29.4,6-6.5
36.0,20742,6.5,23.3,19.3,27.6,31.2,6.5-7
17.7,10273,6.6,22.3,20.8,29.0,32.0,6.5-7
15.2,14813,6.5,23.4,18.5,28.6,33.3,6.5-7
65.1,33690,6.5,21.5,20.8,29.8,34.5,6.5-7
317.2,227370,6.5,23.6,15.7,24.3,30.6,6.5-7
27.4,11014,6.2,21.4,18.5,32.3,34.1,6-6.5
20.0,8625,6.6,22.1,20.8,28.4,34.5,6.5-7
20.0,11753,6.6,23.2,18.4,27.9,30.8,6.5-7
29.3,16431,6.5,23.7,17.6,26.6,31.3,6.5-7
38.7,22084,6.6,20.2,19.4,26.9,31.2,6.5-7
60.2,33379,6.5,22.9,16.5,25.2,30.9,6.5-7
68.8,39366,6.4,20.5,17.6,31.4,33.1,6-6.5
34.6,15143,6.5,22.7,18.1,25.8,32.9,6.5-7
22.6,10609,6.6,22.6,18.9,29.3,32.1,6.5-7
12.4,8634,6.6,21.4,20.6,29.6,32.3,6.5-7
17.8,7717,6.6,22.1,20.0,27.6,32.2,6.5-7
23.4,9924,6.5,22.5,20.5,29.9,32.6,6.5-7
97.5,42655,6.3,21.3,17.0,27.6,32.1,6-6.5
24.1,13782,6.5,22.2,19.4,28.8,33.2,6.5-7
14.9,5960,6.4,23.1,18.6,28.9,32.7,6-6.5
28.3,15126,6.5,22.4,19.8,29.3,32.5,6.5-7
15.7,8880,6.6,22.8,17.2,25.0,32.6,6.5-7
29.3,25240,6.5,22.0,16.5,26.6,31.6,6.5-7
11.4,6608,6.5,23.6,20.6,30.3,32.2,6.5-7
857.8,492228,6.3,22.8,17.4,24.6,32.0,6-6.5
98.2,93310,6.5,21.2,20.9,30.9,34.5,6.5-7
31.8,18620,6.6,21.7,18.0,26.1,31.4,6.5-7
9.2,4907,6.6,22.3,19.1,29.5,31.5,6.5-7
16.9,9731,6.5,22.9,18.5,26.5,32.3,6.5-7
378.3,173287,6.3,21.9,18.0,24.9,34.7,6-6.5
19.4,11476,6.6,24.3,18.4,26.8,31.9,6.5-7
45.4,34874,6.4,21.8,15.8,26.5,29.0,6-6.5
170.3,97573,6.5,21.9,14.5,22.3,32.4,6.5-7
23.4,16853,6.4,21.5,18.8,29.8,34.0,6-6.5
11.5,6138,6.4,21.9,20.1,30.7,33.5,6-6.5
28.9,12249,6.6,21.5,20.1,28.3,34.4,6.5-7
14.5,7036,6.5,22.2,21.3,29.5,34.0,6.5-7
81.0,34994,6.4,19.7,19.2,30.0,32.0,6-6.5
90.9,51792,6.6,23.4,16.5,22.5,30.4,6.5-7
38.7,21999,6.4,22.1,18.1,27.2,34.1,6-6.5
12.3,6448,6.5,22.0,22.1,32.0,34.6,6.5-7
50.0,35813,6.5,23.0,20.3,27.8,34.0,6.5-7
25.8,10339,6.5,22.9,18.2,27.8,32.0,6.5-7
29.0,20000,6.5,24.0,16.3,24.5,30.8,6.5-7
118.3,103240,6.4,21.9,18.3,30.4,31.9,6-6.5
18.5,7395,6.5,22.8,18.3,27.7,31.8,6.5-7
21.6,12547,6.4,21.6,18.4,30.2,32.5,6-6.5
24.7,12340,6.7,17.4,20.3,32.8,35.4,6.5-7
13.6,7875,6.7,18.6,21.2,31.2,34.3,6.5-7
37.3,16081,6.5,18.4,20.5,31.0,34.6,6.5-7
3.9,4406,6.6,18.0,20.8,31.6,36.1,6.5-7
28.7,25721,6.4,17.1,18.7,32.1,34.2,6-6.5
22.9,14570,6.7,17.0,20.3,31.3,36.6,6.5-7
16.8,9572,6.6,17.2,19.7,31.1,34.0,6.5-7
46.9,67021,6.5,18.5,16.9,28.3,35.5,6.5-7
3.4,2664,6.5,18.7,18.2,29.7,34.3,6.5-7
5.1,3251,6.6,17.9,22.2,34.2,36.0,6.5-7
33.9,19935,6.7,18.3,21.4,30.6,33.7,6.5-7
2.6,2662,6.5,18.1,18.2,30.3,33.9,6.5-7
2.1,1998,6.5,19.0,16.9,29.7,33.4,6.5-7
12.4,8006,6.5,19.2,17.4,27.1,32.6,6.5-7
12.3,8780,6.6,18.2,19.0,31.4,36.7,6.5-7
13.0,8181,6.6,18.6,18.0,27.4,33.8,6.5-7
2.2,1696,6.5,18.6,17.6,29.6,33.6,6.5-7
31.0,34915,6.4,18.3,19.6,33.7,36.2,6-6.5
65.9,38845,6.6,16.9,19.2,30.7,35.4,6.5-7
3.2,2832,6.6,19.0,18.8,29.2,34.3,6.5-7
21.8,18466,6.5,20.1,18.7,30.6,36.9,6.5-7
19.4,7616,6.6,18.1,20.1,31.0,35.9,6.5-7
269.1,122663,6.5,18.8,15.1,24.7,32.5,6.5-7
4.5,2799,6.2,17.5,17.7,32.8,34.1,6-6.5
3.9,2542,6.6,17.5,21.6,35.6,35.5,6.5-7
31.7,28555,6.5,19.0,16.9,27.2,35.2,6.5-7
8.5,6103,6.4,19.5,18.0,28.4,36.7,6-6.5
27.9,36362,5.6,16.4,17.7,36.4,33.7,5.5-6
30.4,33385,5.7,16.7,17.5,38.3,36.2,5.5-6
44.7,25578,6.7,18.9,18.8,27.6,35.9,6.5-7
80.8,31094,6.1,15.9,18.1,29.3,38.5,6-6.5
2.5,2640,6.6,18.2,18.6,30.2,33.4,6.5-7
2.8,2490,6.5,18.0,18.3,30.5,34.4,6.5-7
12.4,7099,5.7,16.1,16.5,35.8,33.0,5.5-6
6.9,5953,6.4,17.8,17.1,29.9,31.8,6-6.5
1.6,1230,6.2,17.9,15.7,29.1,33.6,6-6.5
5.2,5999,6.6,18.1,20.1,30.9,34.4,6.5-7
2.5,2526,6.0,16.6,17.4,34.4,34.5,6-6.5
6.8,5428,6.6,17.6,20.6,33.3,34.7,6.5-7
63.9,34487,6.4,18.4,16.1,29.0,31.8,6-6.5
6.9,3957,6.0,16.2,18.0,34.6,34.1,6-6.5
2.1,1788,6.5,18.4,16.1,26.6,33.0,6.5-7
20.1,13166,6.6,18.7,19.1,32.8,35.3,6.5-7
35.9,19128,6.4,20.1,18.3,28.2,33.7,6-6.5
3.2,2881,6.6,18.2,19.9,31.5,35.7,6.5-7
1276.3,604162,6.3,19.5,11.9,19.3,29.5,6-6.5
4.4,3822,5.9,16.1,19.2,37.7,34.7,5.5-6
8.3,7189,6.6,19.7,17.0,27.2,33.2,6.5-7
3.4,2478,6.5,17.8,18.1,29.6,32.5,6.5-7
30.3,19583,6.6,18.0,21.5,33.3,36.5,6.5-7
2.1,1541,6.5,18.2,17.8,30.3,34.1,6.5-7
177.0,81920,6.5,18.8,17.4,28.4,34.1,6.5-7
4.1,2963,6.6,18.5,18.5,28.5,33.4,6.5-7
16.4,9727,6.7,18.6,21.2,32.6,35.9,6.5-7
2.6,2801,6.6,18.3,18.9,29.9,34.0,6.5-7
39.2,33227,6.0,16.4,16.9,34.2,35.7,6-6.5
31.9,28614,6.5,17.8,17.2,27.2,33.4,6.5-7
12.6,11916,6.6,18.9,17.8,26.4,33.2,6.5-7
10.8,9723,6.5,19.0,19.1,31.2,34.7,6.5-7
4.1,4025,6.3,17.5,18.0,32.2,33.4,6-6.5
59.7,34386,6.6,18.9,16.6,27.9,31.5,6.5-7
8.5,5981,6.6,18.2,19.0,28.7,33.1,6.5-7
49.4,31784,6.6,17.4,20.6,32.2,35.9,6.5-7
8.1,5625,6.5,19.3,18.6,28.4,34.8,6.5-7
3.5,2555,6.2,17.6,18.2,32.6,34.3,6-6.5
14.3,10266,6.7,17.8,17.8,27.7,31.6,6.5-7
27.9,15964,6.5,17.4,20.2,32.9,36.4,6.5-7
2.6,2754,6.6,17.7,18.1,30.2,33.5,6.5-7
6.1,5363,6.6,19.5,19.2,30.6,34.7,6.5-7
22.7,15990,6.6,19.0,19.7,31.0,34.1,6.5-7
3.8,3418,6.5,18.8,18.5,30.5,33.9,6.5-7
7.9,5722,6.6,19.0,18.4,29.6,33.6,6.5-7
8.5,6390,6.4,19.2,18.5,30.2,35.9,6-6.5
5.9,5242,6.6,18.8,19.0,30.6,33.5,6.5-7
29.1,24491,6.7,19.1,15.9,25.5,31.0,6.5-7
12.4,9132,6.5,19.3,17.4,29.0,32.8,6.5-7
2.4,2540,6.5,18.0,18.0,29.5,33.4,6.5-7
49.4,61963,6.4,16.6,19.2,30.5,33.6,6-6.5
6.5,4645,6.6,18.4,18.0,28.6,33.6,6.5-7
13.2,9555,6.5,18.3,17.4,29.9,34.9,6.5-7
120.8,73637,6.4,17.3,15.8,25.0,32.8,6-6.5
5.5,4908,6.6,18.8,18.9,29.5,33.3,6.5-7
4.3,3055,6.6,18.6,17.8,29.7,33.9,6.5-7
7.7,6861,6.7,18.5,18.7,31.7,33.4,6.5-7
75.3,54203,6.3,17.9,17.4,29.7,32.5,6-6.5
6.7,4818,6.3,17.5,16.9,30.6,32.8,6-6.5
517.9,516642,6.8,15.9,17.1,28.6,34.8,6.5-7
33.0,21130,5.4,14.1,17.1,42.3,37.2,5-5.5
325.3,176967,6.3,16.5,17.0,29.3,34.7,6-6.5
2.8,2527,6.6,19.1,17.3,28.6,34.5,6.5-7
5.6,5916,6.4,18.6,16.2,27.8,34.5,6-6.5
4.0,3588,6.6,18.4,18.8,29.4,34.1,6.5-7
5.3,4163,6.4,17.7,18.1,31.4,34.3,6-6.5
2.9,1983,5.9,16.8,16.8,35.2,33.8,5.5-6
7.5,5468,5.9,16.1,18.7,37.3,35.5,5.5-6
19.3,22826,6.5,17.4,18.3,28.8,33.9,6.5-7
7.2,7756,6.5,18.5,18.5,29.4,34.5,6.5-7
3.2,2809,6.6,19.1,17.6,27.6,32.6,6.5-7
8.7,6942,6.6,20.7,17.2,27.4,33.8,6.5-7
1.7,1520,6.4,18.8,16.1,27.3,32.2,6-6.5
6.0,5393,6.6,18.7,18.7,28.8,33.0,6.5-7
2.9,2112,6.0,17.7,15.1,31.0,33.0,6-6.5
14.9,8512,6.6,18.4,21.0,32.3,35.2,6.5-7
6.3,3147,6.6,17.4,21.3,33.4,36.5,6.5-7
1090.4,165303,5.8,16.3,20.1,39.4,40.9,5.5-6
47.5,19260,6.9,14.0,28.7,39.1,42.8,6.5-7
62.2,21429,6.9,14.9,27.3,36.3,41.3,6.5-7
113.1,22827,6.9,15.8,22.9,31.3,42.8,6.5-7
32.0,7885,6.9,15.5,24.9,32.8,42.6,6.5-7
91.1,44408,6.8,13.9,28.1,37.8,43.3,6.5-7
44.9,12521,6.9,14.6,28.0,37.4,43.9,6.5-7
72.4,25981,6.9,13.0,33.8,44.0,44.3,6.5-7
543.5,133897,6.9,17.8,18.1,26.8,39.9,6.5-7
68.4,19811,6.8,15.0,24.9,35.1,41.7,6.5-7
291.9,46668,7.0,15.0,24.9,34.4,45.7,7+
167.3,30137,6.8,15.1,23.4,32.5,42.2,6.5-7
40.4,8303,6.9,15.5,26.4,36.3,43.3,6.5-7
25.6,12587,7.0,13.0,30.7,41.4,45.7,7+
36.3,20572,6.9,14.8,26.9,37.5,43.3,6.5-7
276.2,82027,6.9,16.2,23.6,31.6,41.0,6.5-7
30.3,12925,6.9,15.2,27.3,34.9,42.1,6.5-7
37.1,12777,6.9,15.6,25.2,33.6,42.0,6.5-7
101.8,39206,6.9,14.5,22.7,32.9,40.4,6.5-7
618.6,93597,6.9,16.7,20.8,27.1,39.2,6.5-7
25.2,4773,6.9,14.9,26.7,36.1,43.1,6.5-7
82.8,10645,6.8,14.4,27.9,38.3,43.3,6.5-7
65.3,26756,7.0,14.6,28.9,40.9,44.7,7+
36.5,16227,7.0,14.0,30.0,40.1,45.5,7+
98.2,70447,6.6,14.2,26.4,33.8,43.5,6.5-7
144.2,36413,6.8,14.9,23.7,32.0,42.2,6.5-7
42.4,19892,6.9,13.5,33.5,44.1,47.1,6.5-7
52.0,10253,6.9,13.9,30.6,41.6,44.1,6.5-7
24.5,8809,6.9,15.3,26.4,36.1,42.8,6.5-7
21.7,6613,6.9,14.4,28.1,37.3,43.5,6.5-7
222.2,101862,6.8,15.3,23.4,32.9,41.5,6.5-7
40.2,12187,6.9,14.6,28.8,37.1,42.7,6.5-7
32.2,7549,6.8,14.2,32.2,41.6,43.9,6.5-7
55.9,14154,6.9,14.3,30.9,39.6,44.0,6.5-7
1141.9,323890,6.7,16.6,17.3,28.1,39.5,6.5-7
41.9,14596,6.9,15.5,27.7,37.2,44.1,6.5-7
90.3,35516,7.0,13.5,31.0,39.4,44.8,7+
246.2,51137,6.8,15.5,21.0,29.3,40.4,6.5-7
29.1,5977,6.6,13.2,30.3,39.9,45.5,6.5-7
88.1,8916,6.8,15.3,26.0,35.1,44.5,6.5-7
77.1,17742,6.9,15.8,25.6,34.1,41.3,6.5-7
97.4,25116,6.8,15.2,26.1,36.5,42.0,6.5-7
67.6,37298,6.8,14.9,26.1,37.2,40.8,6.5-7
53.4,26514,6.9,14.4,28.7,38.4,44.4,6.5-7
38.4,10978,6.9,14.5,28.4,35.6,42.0,6.5-7
101.9,35101,7.0,15.6,23.7,33.0,41.3,7+
46.5,8732,6.9,16.0,24.8,33.2,40.7,6.5-7
178.8,111419,6.7,14.8,23.2,33.0,43.7,6.5-7
55.8,26005,7.1,12.9,32.1,43.0,46.9,7+
61.8,18946,6.9,15.0,26.2,34.4,41.4,6.5-7
46.3,19092,6.9,14.4,28.7,38.7,44.2,6.5-7
103.5,45206,6.7,16.2,25.7,34.4,40.2,6.5-7
56.6,16195,6.8,14.9,25.9,33.5,42.7,6.5-7
18.0,4365,6.8,14.1,27.7,38.7,43.7,6.5-7
82.5,44706,6.9,13.9,25.6,37.1,43.2,6.5-7
38.7,13363,6.9,13.8,30.5,39.1,43.2,6.5-7
2019.3,768182,6.8,18.4,22.2,32.4,39.6,6.5-7
316.1,54401,6.8,15.8,22.5,32.5,41.1,6.5-7
84.7,22187,7.0,13.9,26.4,36.4,43.6,7+
1044.0,167308,6.9,17.2,21.2,28.7,38.9,6.5-7
42.1,14796,7.0,13.7,31.4,40.4,44.1,7+
80.6,31143,6.9,13.2,30.5,41.6,43.4,6.5-7
55.3,14459,6.9,15.9,26.2,35.9,43.3,6.5-7
140.5,60974,7.0,13.9,27.0,37.1,40.6,7+
36.8,15289,7.0,13.9,31.3,38.7,45.4,7+
35.2,7356,6.9,13.3,35.5,46.2,44.4,6.5-7
24.6,9850,7.0,13.4,33.1,41.9,44.9,7+
63.6,21497,7.0,13.2,31.7,41.2,47.1,7+
27.5,13270,6.9,14.0,32.0,39.3,43.2,6.5-7
73.6,24593,6.9,14.4,28.3,37.7,42.4,6.5-7
29.4,9210,6.9,14.9,26.7,33.9,40.7,6.5-7
49.2,27161,6.7,14.1,27.0,34.1,42.6,6.5-7
38.3,8180,6.7,16.2,24.4,33.8,41.5,6.5-7
263.5,65549,6.7,15.6,22.5,32.3,41.5,6.5-7
40.5,17287,6.8,14.2,32.9,44.1,49.1,6.5-7
36.5,9216,6.9,15.6,24.9,33.4,41.1,6.5-7
213.6,93427,6.9,15.4,22.4,32.3,42.3,6.5-7
39.4,12144,6.9,13.5,31.6,41.0,44.2,6.5-7
56.4,19342,6.8,15.7,28.1,38.0,43.3,6.5-7
103.5,31193,7.0,15.6,23.1,31.4,40.7,7+
48.6,11150,6.8,14.9,27.9,38.6,45.9,6.5-7
71.2,17094,6.8,15.2,24.5,33.1,38.8,6.5-7
94.1,28744,6.9,15.6,23.1,32.0,40.9,6.5-7
32.0,6515,6.9,14.4,28.9,36.9,43.4,6.5-7
88.7,22066,6.9,16.1,24.3,33.1,42.4,6.5-7
34.8,10080,6.9,14.4,30.6,39.2,43.3,6.5-7
32.4,10684,6.9,14.8,28.5,38.5,43.6,6.5-7
143.3,28279,6.9,14.0,26.0,34.4,43.5,6.5-7
35.1,13368,6.9,14.6,30.1,39.2,43.4,6.5-7
65.5,30607,6.8,15.4,26.9,38.7,40.8,6.5-7
111.1,46384,6.9,17.2,22.5,32.0,41.0,6.5-7
37.4,7296,6.9,14.0,30.7,40.8,43.6,6.5-7
40.9,24040,6.9,15.3,26.0,34.3,43.1,6.5-7
357.0,66836,6.9,17.4,17.0,25.3,38.6,6.5-7
31.2,10938,6.8,14.8,27.6,37.2,43.8,6.5-7
22.4,4419,6.9,14.0,30.6,40.0,44.4,6.5-7
52.6,14585,6.9,15.8,25.1,32.8,41.8,6.5-7
75.5,25655,7.0,13.2,29.4,38.6,42.2,7+
73.4,57756,7.0,13.8,28.7,37.0,47.6,7+
69.4,12430,6.9,14.6,27.3,36.9,42.2,6.5-7
99.1,65247,7.0,13.6,27.0,36.7,42.2,7+
21.2,2114,6.9,14.8,26.7,35.8,41.7,6.5-7
52.7,16696,6.9,14.0,28.8,36.2,43.1,6.5-7
87.5,24470,7.0,14.4,27.3,36.2,42.6,7+
70.9,17993,6.9,14.1,26.6,37.8,43.0,6.5-7
204.0,57473,6.9,16.9,20.2,29.4,38.9,6.5-7
130.3,49463,6.7,15.2,20.8,32.3,42.3,6.5-7
79.9,18716,6.8,14.6,24.6,34.3,43.0,6.5-7
103.9,19404,6.8,16.6,22.1,30.0,40.4,6.5-7
97.0,25824,6.8,15.0,25.8,36.7,43.5,6.5-7
32.9,12303,6.8,14.7,26.7,36.7,44.5,6.5-7
33.3,14711,6.8,15.3,23.6,32.5,42.5,6.5-7
56.0,8492,6.8,15.1,25.9,35.7,42.3,6.5-7
42.0,14384,6.9,14.5,26.6,37.1,43.9,6.5-7
247.1,133825,6.6,14.1,21.8,31.2,39.7,6.5-7
41.0,12179,6.9,15.2,24.4,33.8,41.6,6.5-7
44.4,20334,6.9,13.4,29.1,39.9,44.5,6.5-7
39.0,12954,6.9,14.7,28.3,40.1,45.4,6.5-7
83.2,36409,7.0,13.7,28.1,37.1,42.7,7+
32.2,7155,6.9,13.8,34.0,43.1,45.7,6.5-7
142.4,26877,6.7,15.6,19.7,28.4,40.7,6.5-7
94.6,61989,6.6,20.1,24.7,37.7,38.4,6.5-7
33.7,25676,6.4,21.4,24.3,34.0,39.5,6-6.5
438.3,127103,6.4,21.1,19.1,29.7,36.9,6-6.5
64.4,21818,6.4,18.5,25.8,38.9,39.4,6-6.5
48.2,40123,6.4,18.7,26.9,37.0,42.4,6-6.5
32.5,37596,6.6,20.3,22.6,31.7,38.8,6.5-7
16.3,13206,6.3,17.3,26.9,39.4,43.0,6-6.5
151.6,127361,6.5,18.9,21.6,29.1,38.6,6.5-7
272.7,239555,6.3,16.9,22.7,34.9,41.3,6-6.5
191.6,203807,6.4,20.0,22.3,30.9,41.9,6-6.5
18.7,9922,6.5,19.1,26.9,36.7,39.1,6.5-7
5.4,6937,6.7,20.8,23.3,31.9,36.5,6.5-7
13.4,9463,6.4,19.5,26.4,36.7,40.4,6-6.5
20.8,15679,6.1,17.4,28.5,41.9,42.7,6-6.5
27.5,19192,6.4,17.7,26.9,38.3,42.0,6-6.5
31.5,27557,6.3,18.4,24.8,35.9,39.3,6-6.5
964.4,439143,6.1,21.3,19.0,29.9,39.8,6-6.5
16.3,6839,5.9,15.4,32.7,47.8,46.3,5.5-6
42.2,19155,6.3,19.9,24.5,34.4,41.7,6-6.5
50.4,33372,6.4,17.8,28.2,39.4,40.4,6-6.5
32.0,20001,6.4,17.7,27.7,39.2,41.1,6-6.5
34.9,22450,6.5,20.2,24.5,35.1,39.6,6.5-7
121.2,69594,6.3,18.6,24.8,38.2,38.5,6-6.5
52.6,32528,6.2,18.7,24.1,37.4,42.4,6-6.5
27.7,15757,6.5,19.6,26.0,36.8,39.8,6.5-7
1462.2,432282,6.2,21.0,18.8,30.2,37.9,6-6.5
48.3,31440,6.5,20.2,24.0,33.8,37.2,6.5-7
911.1,244823,6.4,20.9,20.4,30.6,37.6,6-6.5
91.4,97658,6.7,20.0,23.3,35.9,36.6,6.5-7
23.9,14910,6.6,20.4,26.3,36.5,37.7,6.5-7
99.0,46719,6.3,17.5,21.1,31.9,39.4,6-6.5
218.0,141300,6.6,20.4,22.7,29.5,37.8,6.5-7
17.5,10897,6.1,15.8,29.2,43.5,44.5,6-6.5
31.2,24816,6.3,17.2,27.8,38.7,41.4,6-6.5
30.4,38093,6.4,17.8,24.3,36.7,42.0,6-6.5
2303.2,390214,5.9,20.2,21.4,29.7,37.7,5.5-6
250.7,153043,6.4,18.5,23.3,34.2,40.3,6-6.5
29.7,23189,6.3,20.4,21.5,31.7,37.3,6-6.5
39.0,21756,6.3,19.0,24.6,36.3,40.4,6-6.5
98.4,129661,6.5,19.8,22.2,34.8,39.3,6.5-7
21.7,8425,6.3,17.8,26.0,38.3,41.3,6-6.5
35.9,20095,6.4,18.2,27.5,38.9,40.8,6-6.5
27.6,23944,6.5,20.0,25.0,33.9,40.1,6.5-7
125.5,47373,6.3,18.5,23.3,36.4,38.2,6-6.5
190.7,53228,6.3,20.7,18.7,30.4,37.2,6-6.5
24.8,10142,6.2,18.1,24.1,36.3,42.8,6-6.5
87.1,21046,6.2,18.7,22.8,35.0,41.5,6-6.5
200.9,42809,6.0,18.5,20.7,34.7,43.7,6-6.5
88.8,82041,6.3,17.2,26.9,38.1,41.0,6-6.5
72.4,53436,6.4,19.8,25.1,34.3,38.0,6-6.5
88.4,49119,6.2,18.5,24.3,37.7,40.1,6-6.5
309.5,261693,6.6,19.4,19.1,25.7,39.2,6.5-7
170.9,135267,6.4,18.5,22.9,34.1,41.6,6-6.5
7.1,4301,6.1,16.1,29.9,44.6,45.5,6-6.5
89.5,110262,6.7,19.4,24.4,36.2,37.2,6.5-7
25.3,22151,6.4,19.7,23.2,33.9,39.2,6-6.5
50.7,59529,6.6,19.9,24.3,34.0,36.7,6.5-7
35.6,47214,6.4,21.2,22.8,32.5,39.9,6-6.5
69.1,46248,6.5,17.8,27.2,40.7,39.3,6.5-7
64.6,38281,6.4,17.9,26.3,37.3,40.6,6-6.5
138.0,26549,6.3,19.5,20.8,31.0,38.3,6-6.5
30.1,10831,6.5,19.7,25.7,37.4,40.6,6.5-7
38.7,15615,6.1,21.2,20.7,30.8,40.3,6-6.5
14.6,13859,6.4,19.5,24.9,35.7,40.8,6-6.5
231.7,108421,6.7,18.6,19.8,33.3,40.4,6.5-7
10.1,67059,6.9,17.0,22.3,35.6,36.8,6.5-7
354.1,295766,6.8,22.4,14.1,24.0,30.3,6.5-7
17.9,30320,6.8,20.4,20.2,31.3,33.5,6.5-7
34.8,55212,7.0,19.3,17.9,29.0,30.4,7+
141.3,122609,7.3,17.3,19.8,32.0,34.4,7+
109.3,39899,6.8,19.9,17.7,28.1,32.0,6.5-7
76.3,34773,6.9,19.6,19.2,29.4,33.6,6.5-7
28.0,58150,7.0,19.9,21.5,33.3,36.3,7+
44.9,152403,7.1,18.6,20.3,33.5,36.7,7+
4.3,16843,6.9,17.8,23.7,34.5,37.5,6.5-7
141.8,35986,7.1,18.3,16.6,28.3,31.2,7+
12.9,50658,6.9,18.4,24.8,34.4,37.9,6.5-7
54.6,39833,6.5,18.1,20.4,29.6,32.5,6.5-7
12.3,31523,7.1,19.3,23.1,35.2,37.6,7+
210.6,208640,7.1,20.5,16.9,27.1,33.9,7+
166.1,70473,6.8,17.4,20.1,30.4,41.3,6.5-7
1400.2,580939,6.6,17.5,15.0,22.2,35.5,6.5-7
1384.3,828241,6.3,15.4,15.6,25.3,37.8,6-6.5
435.4,92797,6.8,18.8,15.7,22.1,35.1,6.5-7
104.9,33496,6.9,15.1,20.1,30.6,40.2,6.5-7
377.6,168996,6.8,18.4,14.0,22.5,33.7,6.5-7
297.8,103108,6.9,17.9,19.4,26.7,39.0,6.5-7
358.3,164018,6.4,14.7,16.1,25.8,41.6,6-6.5
59.1,31955,6.6,15.5,19.7,30.4,38.6,6.5-7
395.6,261206,6.7,16.0,12.3,23.4,33.0,6.5-7
44.9,29058,7.0,16.3,20.7,26.6,36.7,7+
586.6,256399,6.8,17.5,15.8,23.9,38.1,6.5-7
1305.0,327213,6.2,14.6,9.6,19.4,34.4,6-6.5
70.2,19455,6.6,17.0,17.0,25.4,33.5,6.5-7
2140.9,1051715,5.9,13.2,9.0,19.4,33.8,5.5-6
1881.0,907925,5.7,14.6,13.2,27.3,44.6,5.5-6
136.1,50635,6.9,21.7,15.5,24.7,33.1,6.5-7
318.5,113763,6.7,18.2,16.6,24.1,39.1,6.5-7
80.3,25663,6.5,14.9,23.4,35.9,41.8,6.5-7
138.7,37249,6.8,16.6,14.4,23.3,33.5,6.5-7
331.0,151544,6.6,14.7,18.3,27.9,37.5,6.5-7
277.7,103987,6.5,14.7,19.1,30.4,39.4,6.5-7
112.3,52568,6.7,18.6,17.1,24.5,33.7,6.5-7
7301.7,591025,6.2,16.1,20.7,29.8,44.1,6-6.5
542.4,213558,6.7,21.7,14.6,23.9,32.7,6.5-7
135.0,125118,6.8,20.5,17.8,27.8,38.0,6.5-7
1024.4,566571,6.8,19.6,17.8,30.8,36.2,6.5-7
168.2,17365,6.7,21.5,14.8,23.9,33.7,6.5-7
1605.0,790584,6.2,20.7,13.8,29.5,34.6,6-6.5
100.6,70350,6.8,21.3,16.3,26.8,33.7,6.5-7
757.1,467210,6.2,18.3,17.9,31.6,36.3,6-6.5
305.4,161026,6.6,21.6,14.2,25.6,33.6,6.5-7
1972.6,1613205,6.5,20.4,11.6,22.4,32.8,6.5-7
254.5,11444,6.4,21.8,12.5,23.9,33.3,6-6.5
1788.2,708325,6.4,22.9,12.2,25.9,35.0,6-6.5
792.7,522420,6.6,21.5,16.1,24.8,36.9,6.5-7
13810.8,803156,5.8,19.5,13.1,29.2,37.7,5.5-6
550.9,832339,6.6,20.2,14.8,26.8,38.6,6.5-7
15.5,10468,6.8,20.3,23.1,28.2,38.7,6.5-7
10.0,9127,6.7,20.9,22.4,27.2,39.5,6.5-7
143.6,118523,6.8,19.9,19.2,28.0,37.4,6.5-7
49.7,28433,6.8,21.3,22.2,27.2,39.7,6.5-7
49.3,23435,6.9,20.1,20.5,25.3,36.8,6.5-7
41.1,14926,6.9,20.2,24.1,28.9,38.8,6.5-7
9.1,8202,6.8,20.3,24.3,28.7,41.5,6.5-7
111.7,61769,6.8,20.6,18.8,24.7,36.9,6.5-7
233.5,103283,6.8,19.8,21.3,27.1,39.2,6.5-7
55.8,17846,6.8,21.5,18.7,24.0,36.6,6.5-7
270.4,153540,6.6,18.3,20.0,25.3,41.9,6.5-7
86.1,43581,6.7,19.8,23.1,29.7,39.3,6.5-7
190.3,134374,6.7,19.2,21.0,29.0,39.5,6.5-7
105.9,51901,6.8,20.7,21.9,26.4,37.9,6.5-7
62.9,26199,6.9,22.0,19.0,23.8,36.5,6.5-7
35.4,25310,6.9,20.7,22.3,27.0,39.4,6.5-7
24.0,37399,6.7,20.5,24.3,28.9,40.1,6.5-7
55.1,31079,6.9,18.9,25.7,30.3,41.1,6.5-7
141.1,79912,6.7,21.9,17.8,23.5,37.6,6.5-7
25.3,14076,6.8,20.4,22.1,26.4,39.3,6.5-7
30.6,35868,6.9,20.6,21.4,26.2,38.9,6.5-7
33.2,25277,6.9,21.2,19.5,24.2,38.1,6.5-7
192.1,110494,6.7,22.1,18.1,24.8,38.4,6.5-7
71.8,33587,6.8,22.0,17.6,21.4,37.8,6.5-7
637.3,405946,6.7,18.0,22.9,30.1,41.0,6.5-7
50.9,25558,6.8,20.1,24.4,29.0,40.8,6.5-7
13.0,14313,6.8,20.2,22.6,27.0,40.4,6.5-7
201.1,93397,7.0,22.4,17.8,21.4,35.9,7+
71.8,40801,6.7,20.0,22.1,27.9,42.2,6.5-7
76.3,45635,6.9,19.9,23.5,28.7,40.3,6.5-7
35.3,35666,6.8,21.0,21.4,26.2,38.2,6.5-7
