density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
9.5,7771,6.7,15.5,22.0,30.4,36.0,6.5-7
31.9,23384,6.3,13.7,24.2,37.4,39.5,6-6.5
19.0,10478,6.7,15.2,23.8,33.7,36.5,6.5-7
25.4,17639,6.0,11.3,25.8,41.1,40.1,6-6.5
17.9,10736,6.6,15.1,22.8,33.9,35.5,6.5-7
31.0,23537,6.7,14.4,25.6,35.8,36.1,6.5-7
23.3,20000,6.7,13.4,24.5,33.8,36.7,6.5-7
79.2,64342,6.5,14.5,20.8,33.1,33.7,6.5-7
12.4,8057,6.6,15.0,23.2,32.8,36.6,6.5-7
516.2,392189,6.3,14.0,19.6,29.6,40.3,6-6.5
27.7,18036,6.7,14.5,25.1,35.9,35.0,6.5-7
39.1,24832,6.0,13.6,24.6,38.7,41.4,6-6.5
170.4,123287,6.7,15.5,17.1,28.2,33.9,6.5-7
11.5,10284,6.5,14.4,25.4,38.5,36.7,6.5-7
11.9,7903,6.7,14.7,25.8,36.1,36.6,6.5-7
240.7,128014,6.4,14.0,19.8,33.4,35.6,6-6.5
30.1,17018,6.0,13.2,20.3,37.4,37.7,6-6.5
29.1,17579,6.7,14.5,27.3,37.1,37.1,6.5-7
20.7,12555,6.8,15.1,25.4,34.4,36.1,6.5-7
37.2,38617,6.3,14.2,21.4,32.2,38.9,6-6.5
23.4,16571,6.7,15.1,25.3,33.6,37.4,6.5-7
254.9,240117,6.4,15.6,18.6,27.1,33.4,6-6.5
76.3,79013,6.6,14.7,23.3,31.5,36.3,6.5-7
10.7,6307,6.4,13.7,25.3,37.0,37.9,6-6.5
23.0,21367,6.3,13.5,23.1,38.4,34.8,6-6.5
2261.3,1671168,5.4,15.8,10.0,19.7,33.2,5-5.5
1.5,1136,6.4,18.8,16.0,23.6,34.5,6-6.5
67.5,40131,6.3,21.0,14.2,22.7,33.3,6-6.5
133.9,219114,6.4,17.9,14.6,23.3,35.5,6-6.5
45.1,46038,6.3,20.1,15.0,21.3,32.4,6-6.5
18.8,21605,5.5,17.5,13.5,29.6,33.5,5.5-6
1613.5,1155188,5.8,17.7,10.0,22.1,33.1,5.5-6
27.8,27972,6.2,18.7,17.6,27.3,35.8,6-6.5
113.5,193913,6.3,20.4,12.3,19.0,30.4,6-6.5
168.1,1001679,5.4,14.8,14.3,29.4,38.0,5-5.5
21.7,28526,5.8,18.1,15.2,28.2,34.5,5.5-6
38.1,135819,6.4,19.1,15.4,21.5,32.3,6-6.5
43.3,180991,4.9,16.5,13.3,33.3,33.6,7+
1.8,18076,6.2,19.6,13.6,22.1,32.9,6-6.5
111.1,903079,5.6,15.8,15.1,33.0,34.3,5.5-6
110.5,153468,5.4,18.5,14.3,30.6,36.3,5-5.5
51.4,64614,6.2,17.3,16.5,26.7,35.1,6-6.5
