CountyFIPS,ACCESS,CHECKUP,DENTAL,BPMED,CHOLSCREEN,MAMMOUSE,CERVICAL,COLON_SCREEN,COREM,COREW
22121,15.2,80.2,56.9,61.7,87.1,76.1,86.8,65.4,19.6,19.6
29007,19.4,74.9,55.0,60.9,81.9,67.9,83.6,62.6,24.2,23.9
29029,17.2,72.2,57.4,58.9,82.2,68.5,84.1,63.1,28.0,26.5
1021,20.8,73.7,57.3,62.1,85.1,72.0,84.4,65.9,24.8,21.9
40129,19.7,74.9,58.7,58.5,82.7,69.7,82.2,56.6,26.1,25.4
31103,16.1,68.1,65.3,58.1,79.9,68.1,84.5,59.5,24.3,22.7
54051,12.0,78.9,58.0,61.8,85.1,70.6,84.9,63.7,31.5,23.4
21171,14.0,79.6,53.1,62.3,87.4,68.6,82.2,62.0,27.0,22.7
28051,29.1,80.8,35.4,71.9,85.1,66.8,82.4,55.6,19.0,14.9
31035,19.0,68.3,61.3,58.4,80.9,69.1,83.8,61.2,25.7,23.5
30021,12.9,67.4,66.7,51.8,80.9,68.6,84.9,60.9,25.8,24.9
12131,21.8,73.0,60.4,55.5,84.7,69.3,83.7,62.5,24.8,24.5
12129,22.3,75.5,60.2,56.5,84.5,73.3,84.2,67.3,23.9,23.8
1113,20.1,78.0,54.1,64.9,87.2,75.2,85.7,65.1,23.5,22.9
31003,16.8,67.7,64.6,58.6,80.3,68.8,83.3,59.5,23.8,22.7
56003,21.2,64.6,58.0,53.9,81.6,63.2,83.4,54.1,22.3,23.1
55005,12.8,72.8,66.9,55.0,79.0,72.7,84.2,65.2,21.7,21.0
22049,17.7,78.9,49.2,61.9,84.6,71.6,83.7,59.8,18.2,17.7
48169,43.2,69.1,47.2,57.2,80.1,68.2,80.3,52.8,16.1,16.6
48327,35.3,71.3,56.4,57.3,82.4,69.5,82.8,58.1,18.7,18.0
32019,19.9,67.1,55.7,52.5,82.1,60.9,82.4,57.7,25.2,21.3
26159,16.1,75.8,66.2,55.7,86.3,70.7,84.8,66.4,25.4,23.0
13297,22.8,75.0,62.6,58.9,85.8,75.5,85.6,64.0,23.2,25.3
54025,13.4,79.1,52.9,60.2,84.8,72.3,84.2,63.9,30.8,26.9
38091,9.2,69.1,71.0,56.3,82.9,74.5,86.1,65.5,29.0,27.6
56033,16.4,65.1,68.9,52.4,83.5,64.3,84.9,60.9,26.6,23.4
15009,13.2,72.5,68.8,51.0,80.5,76.4,83.6,62.4,18.9,19.7
5063,16.8,76.6,55.1,60.5,82.5,71.7,82.5,58.2,21.3,20.9
48435,38.9,70.9,58.0,55.8,83.0,71.6,83.7,57.4,18.2,17.9
51540,12.7,78.5,67.5,60.8,86.6,76.1,85.6,64.9,26.8,27.6
54105,14.4,77.7,50.2,61.2,83.5,68.9,82.6,61.8,32.1,24.8
31163,16.3,67.2,63.1,58.6,80.2,70.0,84.2,59.5,22.9,22.8
36079,12.7,78.0,71.1,55.1,88.1,75.6,88.4,69.1,21.7,20.4
13231,20.7,75.2,63.2,57.8,85.5,73.6,84.6,62.8,22.8,24.4
40107,23.2,73.9,47.8,59.8,80.7,68.1,80.1,52.2,22.4,23.4
22103,13.4,77.9,63.0,57.4,86.9,76.3,87.0,66.9,22.1,22.5
38019,11.0,68.5,66.7,56.6,81.7,75.6,85.2,64.3,27.2,27.2
19017,9.2,75.9,74.4,56.6,84.3,73.2,86.1,68.3,28.5,27.5
45001,20.1,78.2,55.3,60.8,82.5,72.0,84.8,65.1,27.2,26.5
18037,14.6,75.7,65.6,58.9,83.7,73.9,85.6,63.1,20.9,21.2
47041,23.4,75.1,51.9,60.1,84.2,68.8,82.7,62.9,21.3,19.5
51680,14.5,79.2,63.9,61.6,86.5,76.0,85.8,61.0,24.1,27.9
26089,10.3,76.7,74.7,53.0,88.2,74.7,88.2,72.3,28.1,26.0
40021,19.2,76.1,55.6,58.6,83.2,65.9,81.6,57.5,26.0,23.1
47013,22.1,73.2,47.1,60.1,82.9,66.6,81.1,59.6,20.3,17.9
36089,12.5,78.6,60.2,58.0,84.3,75.8,84.9,68.9,19.5,17.7
48379,25.5,71.2,55.0,56.8,82.0,68.5,81.6,59.4,18.8,18.4
13173,27.0,75.9,54.2,61.3,84.4,74.6,83.6,59.3,20.5,23.2
26005,13.9,75.7,67.0,54.6,87.0,73.3,85.6,68.4,24.1,22.1
19051,12.5,75.1,64.5,57.2,81.7,71.9,82.8,61.1,25.0,22.5
27027,11.1,71.1,73.7,55.0,83.2,78.5,86.7,71.7,27.8,29.3
47097,25.7,75.7,45.3,63.9,84.3,70.6,82.3,60.1,19.1,17.1
48209,28.1,70.2,61.3,58.0,84.2,70.8,83.0,62.2,20.3,18.1
40075,22.8,75.1,54.9,58.8,82.1,68.6,81.2,54.4,25.3,24.1
26059,13.8,75.8,62.2,56.4,85.6,70.8,84.9,66.2,24.9,23.9
18003,14.7,77.1,65.6,61.1,84.1,69.7,84.6,63.2,19.6,20.1
37059,18.1,75.6,65.4,55.2,85.4,75.2,85.9,67.2,29.8,28.2
37197,22.2,75.1,60.6,57.0,84.0,72.5,84.1,63.5,28.0,26.9
47063,24.1,74.4,51.3,60.5,84.3,69.2,82.1,61.2,19.9,18.9
32031,18.4,70.3,62.8,52.5,84.0,67.2,85.0,62.4,26.3,27.4
27057,12.0,69.3,68.4,55.1,82.3,75.7,85.5,67.3,24.6,25.9
56005,19.9,66.0,66.9,51.1,82.3,61.1,83.0,55.5,27.7,19.8
18101,14.0,73.7,59.2,59.2,82.6,68.3,83.8,59.3,20.2,19.3
20051,15.6,72.0,66.3,55.6,82.0,71.6,83.9,61.3,25.0,23.9
30085,15.8,70.0,53.2,54.1,78.1,65.3,80.8,52.8,20.7,19.6
48115,43.7,70.0,44.0,59.0,80.2,66.1,79.1,50.5,14.5,15.0
51171,15.6,76.3,65.8,59.0,85.0,73.9,84.3,62.7,27.8,26.5
20115,15.4,70.8,62.8,56.0,83.2,69.5,83.8,59.2,23.9,23.7
21141,12.4,81.0,56.6,62.7,88.4,72.8,84.1,62.6,27.1,26.9
37129,15.8,77.0,67.3,56.2,86.7,77.0,86.7,66.9,31.5,30.8
51049,16.4,78.3,60.4,61.3,85.7,73.5,84.8,60.7,24.2,24.9
12043,35.0,73.3,51.7,57.5,82.9,72.0,81.8,59.3,21.8,22.3
38105,12.6,68.0,64.4,55.7,82.0,72.5,84.6,60.3,27.0,25.6
13307,27.5,77.2,49.4,61.9,85.7,74.5,83.5,57.5,18.3,21.5
27081,12.5,70.0,68.2,55.2,82.0,73.3,85.3,66.3,25.6,25.5
5085,14.9,76.7,57.1,60.2,83.5,66.5,84.2,62.3,20.4,17.9
40031,21.3,77.0,57.6,60.6,83.6,71.6,82.6,57.3,25.4,25.7
29049,15.9,73.4,56.6,57.7,82.8,66.6,84.3,62.0,25.9,26.8
25011,9.1,77.3,70.9,53.3,86.6,74.0,86.5,68.5,25.7,22.0
20085,16.0,72.6,64.3,56.3,82.5,69.1,84.0,61.1,24.3,24.4
45089,24.5,81.2,48.9,64.5,83.3,77.9,84.4,61.7,22.6,23.6
28115,22.9,75.5,49.1,64.3,83.6,61.9,84.0,59.3,25.0,19.3
17151,16.5,73.3,62.2,55.7,83.1,70.1,83.4,62.7,25.9,21.3
48105,38.8,71.1,54.4,56.1,83.0,70.5,82.4,55.1,16.5,17.1
